classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
alert,02/10/2014,13/02/2015,2014.1339,Netherlands,food,"dietetic foods, food supplements, fortified foods","unauthorised substance 1,3-dimethylbutylamine (nor-DMAA) (25 g/kg) in food supplement from Canada, via the Netherlands",co,"1,3-dimethylbutylamine",nor-DMAA,food supplement,"Canada, via the Netherlands"
information for attention,18/09/2014,18/09/2014,2014.1297,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised substance beta-phenylmethylamine in food supplement from Sweden,co,beta-phenylmethylamine,,food supplement,Sweden
information for follow-up,17/09/2014,30/06/2015,2014.1293,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Gymnema syvestre and novel food ingredient Lagerstroemia speciosa and unauthorised substances vinpocetine, boron citrate, evodiamine and 3,3'-diindolylmethane (DIM) in food supplement from the United States, via the United Kingdom and via the Czech Republic",co,novel food ingredient Gymnema syvestre,DIM,food supplement,"the United States, via the United Kingdom and via the Czech Republic"
information for follow-up,17/09/2014,01/10/2014,2014.1292,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Achyranthes aspera, potassium aspartate unauthorised and unauthorised substance superoxide dismutase in food supplement from the Netherlands",co,"novel food ingredient Achyranthes aspera, potassium aspartate",,food supplement,the Netherlands
information for follow-up,12/09/2014,13/11/2014,2014.1276,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances citrulline malate, beta-alanine and norvaline in food for particular nutritional use from the United States, via the Netherlands",co,"citrulline malate, beta-alanine",,food for particular nutritional use,"the United States, via the Netherlands"
border rejection,09/09/2014,09/09/2014,2014.BLE,Germany,food,fruits and vegetables,residue level above MRL for copper (130 mg/kg - ppm) in vine leaves from Turkey,co,residue level above MRL for copper,130 mg/kg - ppm,vine leaves,Turkey
information for attention,08/09/2014,21/11/2014,2014.1250,Croatia,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil thiono analogue (347 mg/kg - ppm) in food supplement from China,co,sildenafil thiono analogue,347 mg/kg - ppm,food supplement,China
information for attention,04/09/2014,11/09/2014,2014.1236,Croatia,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tadalafil (381 mg/kg - ppm) in food supplement from China, via Malaysia",co,tadalafil,381 mg/kg - ppm,food supplement,"China, via Malaysia"
alert,04/09/2014,10/09/2014,2014.1238,Germany,food,cereals and bakery products,"high content of aluminium (413 mg/kg - ppm) in bot banh bao dumpling flour from Vietnam, via the Netherlands",co,aluminium,413 mg/kg - ppm,bot banh bao dumpling flour,"Vietnam, via the Netherlands"
border rejection,29/08/2014,22/10/2014,2014.BKH,Germany,food,fruits and vegetables,residue level above MRL for copper (102 mg/kg - ppm) in vine leaves from Turkey,co,residue level above MRL for copper,102 mg/kg - ppm,vine leaves,Turkey
information for attention,29/08/2014,29/09/2014,2014.1216,Croatia,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (242 mg/kg - ppm) in food supplement from China,co,sildenafil,242 mg/kg - ppm,food supplement,China
alert,28/08/2014,08/06/2015,2014.1205,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substance tetrahydrocannabinol (THC) (0.244 mg/kg - ppm) in Tribulus terrestris extract from Romania, with raw material from China",co,tetrahydrocannabinol,THC,tribulus terrestris extract,"Romania, with raw material from China"
information for follow-up,28/08/2014,14/01/2015,2014.1201,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substances evodiamine and phenethylamine in food supplement from the United States,co,evodiamine,,food supplement,the United States
information for attention,28/08/2014,28/08/2014,2014.1197,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised novel food ingredient betaine and unauthorised substance yohimbine in food supplement from the United States,co,novel food ingredient betaine,,food supplement,the United States
alert,26/08/2014,29/09/2015,2014.1182,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient ginseng (Siberian) and novel food ingredient milk thistle (Silybum marianum), unauthorised substances arginine alphaketoglutarate and L-carnitine fumarate in and insufficient labelling (warning only in English language) of training supplement from the United States, via Austria",co,novel food ingredient ginseng,Siberian,and insufficient labelling (warning only in english language) of training supplement,"the United States, via Austria"
border rejection,25/08/2014,26/08/2014,2014.BJN,Spain,food,prepared dishes and snacks,"too high content of colour E 102 - tartrazine (100 mg/kg - ppm), unauthorised animal ingredient (egg white) and unauthorised use of colour E 132 - indigotine /  indigo carmine (500 mg/kg - ppm) in noodles from Japan",co,colour E 102 - tartrazine,100 mg/kg - ppm,noodle,Japan
information for attention,21/08/2014,02/10/2014,2014.1171,Croatia,food,"dietetic foods, food supplements, fortified foods",unauthorised substance tadalafil (60.2 mg/kg - ppm) in food supplement from China,co,tadalafil,60.2 mg/kg - ppm,food supplement,China
information for attention,21/08/2014,29/08/2014,2014.1174,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient betaine and unauthorised substances citrulline malate, arginine alphaketoglutarate, beta-alanine and L-Norvaline in food supplement from Poland",co,novel food ingredient betaine,,food supplement,Poland
information for follow-up,20/08/2014,18/06/2015,2014.1162,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substance guggulsterone in food supplement from the United States,co,guggulsterone,,food supplement,the United States
information for follow-up,20/08/2014,29/08/2014,2014.1159,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised substance yohimbine in food supplement from the United States,co,yohimbine,,food supplement,the United States
alert,14/08/2014,19/09/2014,2014.1144,Hungary,food,"dietetic foods, food supplements, fortified foods",benzalkonium chloride (BAC) (>9500 mg/kg - ppm) and didecyldimethylammonium chloride (DDAC) (0.81 mg/kg - ppm) in grapefruit seed extract from Switzerland,co,benzalkonium chloride,BAC,grapefruit seed extract,Switzerland
alert,13/08/2014,08/06/2015,2014.1137,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance tetrahydrocannabinol (THC) (2.53 mg/kg - ppm) in food supplement from Hungary,co,tetrahydrocannabinol,THC,food supplement,Hungary
border rejection,12/08/2014,12/08/2014,2014.BID,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised ingredient (Rauwolfia serpentina, Areca catechu, Sida cordifolia, Ipomoea turphetum) and novel food ingredient Mucuna pruriens in various food supplements from India",co,,,various food supplement,India
information for follow-up,11/08/2014,28/05/2015,2014.1124,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised novel food ingredient Mucuna pruriens and unauthorised substance vinpocetine in food supplement from the United Kingdom, Hungary, Poland and the United States",co,novel food ingredient Mucuna pruriens,,food supplement,"the United Kingdom, Hungary, Poland and the United States"
information for follow-up,11/08/2014,22/09/2014,2014.1125,Poland,food,"dietetic foods, food supplements, fortified foods",unauthorised novel food ingredient Mucuna pruriens and unauthorised substance vinpocetine in food supplement from the United States,co,novel food ingredient Mucuna pruriens,,food supplement,the United States
alert,11/08/2014,11/08/2014,2014.1123,Germany,food,other food product / mixed,high content of aluminium (87.4 mg/kg - ppm) in glass noodles from beans from China,co,aluminium,87.4 mg/kg - ppm,glass noodle,China
alert,06/08/2014,08/06/2015,2014.1104,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substances androstenedione (0.417; 1.34 mg/kg - ppm) and tetrahydrocannabinol (THC) (14.8; 31.4 mg/kg - ppm) in food supplement from Germany,co,androstenedione,0.417; 1.34 mg/kg - ppm,food supplement,Germany
alert,06/08/2014,27/08/2014,2014.1107,Germany,food,cereals and bakery products,high content of aluminium (513; 942; 125; 1670 mg/kg - ppm) in cake flour from Vietnam,co,aluminium,513; 942; 125; 1670 mg/kg - ppm,cake flour,Vietnam
border rejection,05/08/2014,08/08/2014,2014.BHF,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (67.7 mg/item) in food supplements dispatched from China,co,sildenafil,67.7 mg/item,food supplement,China
information for attention,05/08/2014,06/08/2014,2014.1099,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (557 mg/kg - ppm) in food supplement from the United States, via the Netherlands",co,vitamin B6,557 mg/kg - ppm,food supplement,"the United States, via the Netherlands"
alert,31/07/2014,14/11/2014,2014.1069,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance progesterone (1.76 g/kg) in food supplement from the Czech Republic,co,progesterone,1.76 g/kg,food supplement,the Czech Republic
alert,30/07/2014,01/09/2014,2014.1052,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised ingredient (androgenic anabolic steroid) in food supplement from Bulgaria,co,,,food supplement,Bulgaria
alert,30/07/2014,01/09/2014,2014.1046,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised ingredient (androgenic anabolic steroid: 0.103 mg/kg - ppm) in food supplement from Bulgaria,co,,,food supplement,Bulgaria
border rejection,28/07/2014,07/08/2014,2014.BFO,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substances sildenafil (2.26 mg/item) and tadalafil (0.21 mg/item) in food supplement dispatched from China,co,sildenafil,2.26 mg/item,food supplement,China
information for follow-up,25/07/2014,24/04/2015,2014.1032,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances vinpocetine and boron citrate in food supplement from the United States, via the United Kingdom and via Spain",co,vinpocetine,,food supplement,"the United States, via the United Kingdom and via Spain"
information for follow-up,25/07/2014,12/09/2014,2014.1033,Poland,food,"dietetic foods, food supplements, fortified foods","unauthorised substances vinpocetine, citrulline malate and L-carnitine fumarate in food for particular nutritional use from the United States",co,"vinpocetine, citrulline malate",,food for particular nutritional use,the United States
information for attention,09/07/2014,02/09/2014,2014.0939,Germany,food,cereals and bakery products,high content of aluminium (785 mg/kg - ppm) in doughnut flour from Vietnam,co,aluminium,785 mg/kg - ppm,doughnut flour,Vietnam
information for follow-up,09/07/2014,24/07/2014,2014.0944,Germany,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market of and unauthorised substance beta-alanine in dietary food for intense muscular effort, for sportsmen from Poland",co,,,"dietary food for intense muscular effort, for sportsmen",Poland
alert,08/07/2014,01/10/2014,2014.0932,France,food,"dietetic foods, food supplements, fortified foods",unauthorised substances sibutramine and sildenafil in food supplement from the Netherlands and the United States,co,sibutramine,,food supplement,the Netherlands and the United States
information for follow-up,02/07/2014,28/11/2014,2014.0905,Spain,food,"dietetic foods, food supplements, fortified foods",unauthorised substance lithium in drinkable food supplements from Switzerland,co,lithium,,drinkable food supplement,Switzerland
border rejection,02/07/2014,15/07/2014,2014.BCG,Germany,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (24650 mg/kg - ppm) in food supplement from the United States,co,sildenafil,24650 mg/kg - ppm,food supplement,the United States
alert,25/06/2014,14/07/2014,2014.0873,Germany,food,other food product / mixed,high content of iodine (276 mg/kg - ppm) in dried seaweed from South Korea,co,iodine,276 mg/kg - ppm,dried seaweed,South Korea
information for follow-up,25/06/2014,08/07/2014,2014.0870,Lithuania,food,"dietetic foods, food supplements, fortified foods","unauthorised substances zinc amino acid chelate, selenium amino acid chelate, calcium amino acid chelate, magnesium amino acid chelate and boron amino acid chelate in food supplement from the United Kingdom, via the Czech Republic",co,"zinc amino acid chelate, selenium amino acid chelate, calcium amino acid chelate, magnesium amino acid chelate",,food supplement,"the United Kingdom, via the Czech Republic"
border rejection,24/06/2014,02/07/2014,2014.BAS,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market (Azadirachta indica) of food supplement from India,co,,Azadirachta indica,unauthorised placing on the market (azadirachta indica) of food supplement,India
information for attention,23/06/2014,12/02/2015,2014.0864,Spain,food,"dietetic foods, food supplements, fortified foods",unauthorised substance lithium in food supplement from Switzerland,co,lithium,,food supplement,Switzerland
